date,Clovelly,Coogee
2/12/2016,1.0,0.0
4/12/2016,0.0,1.0
7/12/2016,0.0,1.0
19/1/2017,1.0,0.0
24/1/2017,0.0,1.0
29/1/2017,0.0,1.0
30/1/2017,1.0,0.5
6/2/2017,1.0,0.0
8/2/2017,0.0,1.0
9/2/2017,0.0,1.0
17/2/2017,0.0,1.0
17/2/2017,0.0,1.0
17/2/2017,0.0,1.0
26/2/2017,1.0,0.0
26/2/2017,1.0,0.0
27/2/2017,1.0,2.0
28/2/2017,0.5,1.0
4/3/2017,0.0,2.0
8/3/2017,0.0,1.0
9/3/2017,0.0,1.0
14/3/2017,0.5,1.0
15/3/2017,1.0,0.0
25/3/2017,0.0,1.0
6/4/2017,0.0,1.0
6/4/2017,0.0,1.0
7/4/2017,0.0,1.0
7/4/2017,0.0,2.0
8/4/2017,1.0,0.0
17/4/2017,0.0,1.0
28/9/2017,0.0,1.0
19/10/2017,0.0,1.0
19/10/2017,0.0,1.0
26/10/2017,0.0,1.0
29/10/2017,0.0,1.0
13/11/2017,0.0,1.0
23/11/2017,2.0,0.0
12/12/2017,0.0,1.0
23/12/2017,0.0,1.0
24/12/2017,0.0,1.0
30/12/2017,0.0,1.0
30/1/2018,0.0,1.0
31/1/2018,1.0,0.0
4/2/2018,1.0,0.0
8/2/2018,0.0,1.0
13/2/2018,0.0,1.0
14/2/2018,0.0,2.0
15/2/2018,0.0,2.0
17/2/2018,0.5,2.0
18/2/2018,0.0,1.0
20/2/2018,0.0,1.0
22/2/2018,1.0,0.0
23/2/2018,0.0,1.0
7/3/2018,0.5,1.0
8/3/2018,0.0,1.0
20/4/2018,0.0,1.0
30/9/2018,0.0,1.0
1/10/2018,0.0,1.0
11/10/2018,1.0,0.0
12/10/2018,0.0,1.0
19/10/2018,1.0,0.0
21/10/2018,0.5,1.0
18/11/2018,1.0,0.0
20/11/2018,0.0,1.0
10/12/2018,0.0,1.0
11/12/2018,1.0,2.0
11/12/2018,1.0,2.0
15/12/2018,1.0,0.0
4/1/2019,0.0,1.0
8/1/2019,0.0,1.0
11/1/2019,0.0,1.0
19/1/2019,1.0,0.5
26/1/2019,1.0,0.0
29/1/2019,0.0,2.0
21/2/2019,0.0,2.0
1/3/2019,0.0,1.0
2/3/2019,0.0,1.0
6/3/2019,0.0,1.0
9/3/2019,0.0,1.0
0,567.0,645.0
